"id_D";"montant";"id_paiement"
"20170044";"540";"1"
"20170044";"149.62";"2"
"20170044";"1210";"3"
"20170044";"170";"4"
"20170045";"384.29";"1"
"20170045";"373.38";"2"
"20170045";"680";"3"
"20170045";"0";"4"
"20170046";"490";"1"
"20170046";"306.28";"2"
"20170046";"740";"3"
"20170046";"220";"4"
"20170047";"270";"1"
"20170047";"153.14";"2"
"20170047";"620";"3"
"20170047";"170";"4"
"20170048";"140";"1"
"20170048";"194.5";"2"
"20170048";"780";"3"
"20170048";"140";"4"
"20170049";"230";"1"
"20170049";"159.12";"2"
"20170049";"1180";"3"
"20170049";"270";"4"
"20170050";"220";"1"
"20170050";"121.98";"2"
"20170050";"990";"3"
"20170050";"40";"4"
"20170051";"200";"1"
"20170051";"21.98";"2"
"20170051";"700";"3"
"20170051";"130";"4"
"20170052";"190";"1"
"20170052";"120.22";"2"
"20170052";"810";"3"
"20170052";"130";"4"
"20170053";"200";"1"
"20170053";"155.6";"2"
"20170053";"340";"3"
"20170053";"220";"4"
"20170054";"340";"1"
"20170054";"206.88";"2"
"20170054";"1130";"3"
"20170054";"180";"4"
"20170055";"520";"1"
"20170055";"243.24";"2"
"20170055";"390";"3"
"20170055";"300";"4"
"20170056";"590";"1"
"20170056";"429.66";"2"
"20170056";"640";"3"
"20170056";"90";"4"
"20170057";"140";"1"
"20170057";"157.36";"2"
"20170057";"410";"3"
"20170057";"230";"4"
"20170058";"360";"1"
"20170058";"272.3";"2"
"20170058";"618.9";"3"
"20170058";"180";"4"
"20170059";"540";"1"
"20170059";"38.9";"2"
"20170059";"1090";"3"
"20170059";"180";"4"
"20170060";"270";"1"
"20170060";"165.44";"2"
"20170060";"260";"3"
"20170060";"40";"4"
"20170061";"280";"1"
"20170061";"160.52";"2"
"20170061";"490";"3"
"20170061";"40";"4"
"20170062";"290";"1"
"20170062";"164.04";"2"
"20170062";"410";"3"
"20170062";"40";"4"
"20170063";"360";"1"
"20170063";"317.18";"2"
"20170063";"890";"3"
"20170063";"40";"4"
"20170064";"830";"1"
"20170064";"106.79";"2"
"20170064";"690";"3"
"20170064";"150";"4"
"20170065";"160";"1"
"20170065";"257";"2"
"20170065";"480";"3"
"20170065";"140";"4"
"20170066";"440";"1"
"20170066";"233.4";"2"
"20170066";"720";"3"
"20170066";"40";"4"
"20170067";"530";"1"
"20170067";"262.1";"2"
"20170067";"720";"3"
"20170067";"210";"4"
"20170068";"400";"1"
"20170068";"164.04";"2"
"20170068";"690";"3"
"20170068";"180";"4"
"20170069";"132.2";"1"
"20170069";"251.66";"2"
"20170069";"630";"3"
"20170069";"90";"4"
"20170070";"290";"1"
"20170070";"202.94";"2"
"20170070";"570";"3"
"20170070";"80";"4"
"20170071";"280";"1"
"20170071";"314.36";"2"
"20170071";"500";"3"
"20170071";"40";"4"
"20170072";"390";"1"
"20170072";"121.98";"2"
"20170072";"1160";"3"
"20170072";"160";"4"
"20170073";"200";"1"
"20170073";"81.32";"2"
"20170073";"810";"3"
"20170073";"80";"4"
"20170075";"740";"1"
"20170075";"304.52";"2"
"20170075";"760";"3"
"20170075";"0";"4"
"20170076";"180";"1"
"20170076";"233.4";"2"
"20170076";"740";"3"
"20170076";"150";"4"
"20170077";"510";"1"
"20170077";"206.1";"2"
"20170077";"920";"3"
"20170077";"430";"4"
"20170078";"330";"1"
"20170078";"393.58";"2"
"20170078";"530";"3"
"20170078";"120";"4"
"20170079";"480";"1"
"20170079";"221.8";"2"
"20170079";"1190";"3"
"20170079";"260";"4"
"20170080";"500";"1"
"20170080";"233.44";"2"
"20170080";"670";"3"
"20170080";"160";"4"
"20170081";"370";"1"
"20170081";"241.84";"2"
"20170081";"160";"3"
"20170081";"80";"4"
"20170082";"210";"1"
"20170082";"36.36";"2"
"20170082";"270";"3"
"20170082";"160";"4"
"20170084";"270";"1"
"20170084";"241.84";"2"
"20170084";"690";"3"
"20170084";"40";"4"
"20170085";"160";"1"
"20170085";"376.1";"2"
"20170085";"540";"3"
"20170085";"220";"4"
"20170086";"430";"1"
"20170086";"150.44";"2"
"20170086";"1170";"3"
"20170086";"60";"4"
"20170087";"230";"1"
"20170087";"368";"2"
"20170087";"650";"3"
"20170087";"80";"4"
"20170089";"120";"1"
"20170089";"79.56";"2"
"20170089";"500";"3"
"20170089";"80";"4"
"20170090";"280";"1"
"20170090";"314.36";"2"
"20170090";"320";"3"
"20170090";"130";"4"
"20170091";"870";"1"
"20170091";"81.32";"2"
"20170091";"850";"3"
"20170091";"180";"4"
"20170092";"300";"1"
"20170092";"287.06";"2"
"20170092";"550";"3"
"20170092";"130";"4"
"20170093";"420";"1"
"20170093";"153.14";"2"
"20170093";"1300";"3"
"20170093";"40";"4"
"20170094";"130";"1"
"20170094";"160.88";"2"
"20170094";"740";"3"
"20170094";"40";"4"
"20170095";"500";"1"
"20170095";"350";"2"
"20170095";"320";"3"
"20170095";"40";"4"
"20170096";"530";"1"
"20170096";"348";"2"
"20170096";"810";"3"
"20170096";"120";"4"
"20170097";"160";"1"
"20170097";"167.98";"2"
"20170097";"700";"3"
"20170097";"316";"4"
"20170098";"480";"1"
"20170098";"159.12";"2"
"20170098";"240";"3"
"20170098";"80";"4"
"20170099";"170";"1"
"20170099";"79.56";"2"
"20170099";"470";"3"
"20170099";"40";"4"
"20170100";"200";"1"
"20170100";"275.46";"2"
"20170100";"460";"3"
"20170100";"40";"4"
"20170102";"380";"1"
"20170102";"70.52";"2"
"20170102";"250";"3"
"20170102";"200";"4"
"20170103";"560";"1"
"20170103";"120.22";"2"
"20170103";"410";"3"
"20170103";"220";"4"
"20170104";"500";"1"
"20170104";"40.66";"2"
"20170104";"510";"3"
"20170104";"0";"4"
"20170105";"380";"1"
"20170105";"233.4";"2"
"20170105";"500";"3"
"20170105";"120";"4"
"20170106";"510";"1"
"20170106";"275.12";"2"
"20170106";"1210";"3"
"20170106";"160";"4"
"20170107";"270";"1"
"20170107";"195.2";"2"
"20170107";"740";"3"
"20170107";"80";"4"
"20170109";"330";"1"
"20170109";"86.66";"2"
"20170109";"700";"3"
"20170109";"0";"4"
"20170110";"180";"1"
"20170110";"260.63";"2"
"20170110";"520";"3"
"20170110";"90";"4"
"20170111";"830";"1"
"20170111";"151.38";"2"
"20170111";"660";"3"
"20170111";"190";"4"
"20170112";"280";"1"
"20170112";"121.98";"2"
"20170112";"620";"3"
"20170112";"220";"4"
"20170113";"770";"1"
"20170113";"118.46";"2"
"20170113";"1000";"3"
"20170113";"110";"4"
"20170114";"250";"1"
"20170114";"199.14";"2"
"20170114";"390";"3"
"20170114";"40";"4"
"20170115";"320";"1"
"20170115";"77.8";"2"
"20170115";"540";"3"
"20170115";"160";"4"
"20170116";"512.62";"1"
"20170116";"82.72";"2"
"20170116";"1120";"3"
"20170116";"100";"4"
"20170117";"120";"1"
"20170117";"81.32";"2"
"20170117";"740";"3"
"20170117";"130";"4"
"20170118";"120";"1"
"20170118";"121.98";"2"
"20170118";"620";"3"
"20170118";"40";"4"
"20170119";"290";"1"
"20170119";"40.66";"2"
"20170119";"630";"3"
"20170119";"90";"4"
"20170120";"400";"1"
"20170120";"201.6";"2"
"20170120";"440";"3"
"20170120";"60";"4"
"20170121";"290";"1"
"20170121";"79.56";"2"
"20170121";"1240";"3"
"20170121";"40";"4"
"20170123";"80";"1"
"20170123";"79.55";"2"
"20170123";"300";"3"
"20170123";"80";"4"
"20170124";"300";"1"
"20170124";"192.04";"2"
"20170124";"720";"3"
"20170124";"90";"4"
"20170125";"480";"1"
"20170125";"194.5";"2"
"20170125";"500";"3"
"20170125";"80";"4"
"20170126";"550";"1"
"20170126";"242.2";"2"
"20170126";"850";"3"
"20170126";"220";"4"
"20170127";"300";"1"
"20170127";"281.86";"2"
"20170127";"550";"3"
"20170127";"90";"4"
"20170128";"190";"1"
"20170128";"81.32";"2"
"20170128";"510";"3"
"20170128";"160";"4"
"20170129";"300";"1"
"20170129";"34.45";"2"
"20170129";"580";"3"
"20170129";"100";"4"
"20170130";"140";"1"
"20170130";"194.5";"2"
"20170130";"680";"3"
"20170130";"0";"4"
"20170131";"610";"1"
"20170131";"153.14";"2"
"20170131";"1080";"3"
"20170131";"130";"4"
"20170132";"540";"1"
"20170132";"121.98";"2"
"20170132";"730";"3"
"20170132";"90";"4"
"20170133";"220";"1"
"20170133";"319";"2"
"20170133";"950";"3"
"20170133";"0";"4"
"20170134";"400";"1"
"20170134";"40.66";"2"
"20170134";"640";"3"
"20170134";"0";"4"
"20170135";"500";"1"
"20170135";"233.4";"2"
"20170135";"300";"3"
"20170135";"60";"4"
"20170136";"460";"1"
"20170136";"153.14";"2"
"20170136";"780";"3"
"20170136";"170";"4"
"20170138";"340";"1"
"20170138";"82.72";"2"
"20170138";"420";"3"
"20170138";"40";"4"
"20170139";"180";"1"
"20170139";"40.66";"2"
"20170139";"460";"3"
"20170139";"180";"4"
"20170140";"420";"1"
"20170140";"0";"2"
"20170140";"260";"3"
"20170140";"40";"4"
"20170141";"210";"1"
"20170141";"121.98";"2"
"20170141";"1230";"3"
"20170141";"160";"4"
"20170142";"670";"1"
"20170142";"121.62";"2"
"20170142";"610";"3"
"20170142";"100";"4"
"20170143";"250";"1"
"20170143";"305.92";"2"
"20170143";"730";"3"
"20170143";"80";"4"
"20170144";"460";"1"
"20170144";"81.32";"2"
"20170144";"330";"3"
"20170144";"80";"4"
"20170145";"100";"1"
"20170145";"168.24";"2"
"20170145";"660";"3"
"20170145";"180";"4"
"20170146";"260";"1"
"20170146";"321.1";"2"
"20170146";"840";"3"
"20170146";"160";"4"
"20170147";"460";"1"
"20170147";"160.22";"2"
"20170147";"290";"3"
"20170147";"340";"4"
"20170148";"190";"1"
"20170148";"40.66";"2"
"20170148";"620";"3"
"20170148";"80";"4"
"20170149";"380";"1"
"20170149";"238.32";"2"
"20170149";"570";"3"
"20170149";"310";"4"
"20170150";"180";"1"
"20170150";"314.36";"2"
"20170150";"500";"3"
"20170150";"60";"4"
"20170151";"640";"1"
"20170151";"391.82";"2"
"20170151";"600";"3"
"20170151";"170";"4"
"20170152";"120";"1"
"20170152";"280.46";"2"
"20170152";"700";"3"
"20170152";"40";"4"
"20170153";"600";"1"
"20170153";"218.28";"2"
"20170153";"470";"3"
"20170153";"60";"4"
"20170154";"390";"1"
"20170154";"532.17";"2"
"20170154";"720";"3"
"20170154";"80";"4"
"20170155";"220";"1"
"20170155";"230.82";"2"
"20170155";"460";"3"
"20170155";"60";"4"
"20170156";"120";"1"
"20170156";"252.96";"2"
"20170156";"520";"3"
"20170156";"80";"4"
"20170164";"180";"1"
"20170164";"42.06";"2"
"20170164";"900";"3"
"20170164";"140";"4"
"20170165";"220";"1"
"20170165";"81.32";"2"
"20170165";"310";"3"
"20170165";"40";"4"
"20170166";"180";"1"
"20170166";"346.58";"2"
"20170166";"790";"3"
"20170166";"360";"4"
"20170167";"350";"1"
"20170167";"182.54";"2"
"20170167";"280";"3"
"20170167";"0";"4"
"20170168";"290";"1"
"20170168";"164.46";"2"
"20170168";"620";"3"
"20170168";"100";"4"
"20170171";"320";"1"
"20170171";"314.02";"2"
"20170171";"840";"3"
"20170171";"280";"4"
"20170172";"150";"1"
"20170172";"190.88";"2"
"20170172";"520";"3"
"20170172";"40";"4"
"20170173";"380";"1"
"20170173";"158.76";"2"
"20170173";"500";"3"
"20170173";"180";"4"
"20170174";"340";"1"
"20170174";"109.32";"2"
"20170174";"1090";"3"
"20170174";"90";"4"
"20170175";"480";"1"
"20170175";"203.3";"2"
"20170175";"620";"3"
"20170175";"190";"4"
"20170176";"170";"1"
"20170176";"119.56";"2"
"20170176";"450";"3"
"20170176";"40";"4"
"20170177";"430";"1"
"20170177";"190.88";"2"
"20170177";"210";"3"
"20170177";"90";"4"
"20170178";"300";"1"
"20170178";"162.7";"2"
"20170178";"480";"3"
"20170178";"0";"4"
"20170179";"630";"1"
"20170179";"234.46";"2"
"20170179";"470";"3"
"20170179";"100";"4"
"20170180";"510";"1"
"20170180";"185.7";"2"
"20170180";"750";"3"
"20170180";"40";"4"
"20170181";"130";"1"
"20170181";"356.08";"2"
"20170181";"850";"3"
"20170181";"200";"4"
"20170182";"140";"1"
"20170182";"81.32";"2"
"20170182";"510";"3"
"20170182";"40";"4"
"20170183";"160";"1"
"20170183";"0";"2"
"20170183";"0";"3"
"20170183";"0";"4"
"20170186";"340";"1"
"20170186";"81.32";"2"
"20170186";"660";"3"
"20170186";"80";"4"
"20170187";"260";"1"
"20170187";"320";"2"
"20170187";"820";"3"
"20170187";"130";"4"
"20170188";"40";"1"
"20170188";"320";"2"
"20170188";"660";"3"
"20170188";"0";"4"
"20170189";"160";"1"
"20170189";"515.56";"2"
"20170189";"1020";"3"
"20170189";"210";"4"
"20170190";"250";"1"
"20170190";"324.56";"2"
"20170190";"880";"3"
"20170190";"80";"4"
"20170191";"390";"1"
"20170191";"317.6";"2"
"20170191";"950";"3"
"20170191";"360";"4"
"20170192";"170";"1"
"20170192";"159.12";"2"
"20170192";"540";"3"
"20170192";"140";"4"
"20170193";"160";"1"
"20170193";"204.64";"2"
"20170193";"680";"3"
"20170193";"40";"4"
"20170194";"580";"1"
"20170194";"164.04";"2"
"20170194";"790";"3"
"20170194";"120";"4"
"20170195";"40";"1"
"20170195";"204.7";"2"
"20170195";"710";"3"
"20170195";"100";"4"
"20170196";"260";"1"
"20170196";"153.14";"2"
"20170196";"470";"3"
"20170196";"40";"4"
"20170197";"390";"1"
"20170197";"120.22";"2"
"20170197";"760";"3"
"20170197";"40";"4"
"20170198";"300";"1"
"20170198";"246.82";"2"
"20170198";"540";"3"
"20170198";"40";"4"
"20170199";"170";"1"
"20170199";"112.48";"2"
"20170199";"1020";"3"
"20170199";"340";"4"
"20170200";"180";"1"
"20170200";"82.72";"2"
"20170200";"710";"3"
"20170200";"40";"4"
"20170201";"260";"1"
"20170201";"165.44";"2"
"20170201";"720";"3"
"20170201";"230";"4"
"20170202";"310";"1"
"20170202";"160.52";"2"
"20170202";"600";"3"
"20170202";"130";"4"
"20170203";"360";"1"
"20170203";"272.3";"2"
"20170203";"660";"3"
"20170203";"100";"4"
"20170204";"410";"1"
"20170204";"153.14";"2"
"20170204";"970";"3"
"20170204";"250";"4"
"20170205";"510";"1"
"20170205";"155.94";"2"
"20170205";"500";"3"
"20170205";"200";"4"
"20170206";"200";"1"
"20170206";"109.78";"2"
"20170206";"920";"3"
"20170206";"260";"4"
"20170207";"740";"1"
"20170207";"157.36";"2"
"20170207";"440";"3"
"20170207";"320";"4"
"20170208";"360";"1"
"20170208";"155.6";"2"
"20170208";"480";"3"
"20170208";"120";"4"
"20170209";"360";"1"
"20170209";"279.34";"2"
"20170209";"530";"3"
"20170209";"100";"4"
"20170210";"210";"1"
"20170210";"357.84";"2"
"20170210";"490";"3"
"20170210";"90";"4"
"20170211";"700";"1"
"20170211";"292.41";"2"
"20170211";"820";"3"
"20170211";"0";"4"
"20170212";"230";"1"
"20170212";"320";"2"
"20170212";"280";"3"
"20170212";"220";"4"
"20170216";"150";"1"
"20170216";"241.84";"2"
"20170216";"370";"3"
"20170216";"170";"4"
"20170217";"430";"1"
"20170217";"69.12";"2"
"20170217";"750";"3"
"20170217";"182.2";"4"
"20170218";"400";"1"
"20170218";"278.62";"2"
"20170218";"490";"3"
"20170218";"140";"4"
"20170219";"270";"1"
"20170219";"159.12";"2"
"20170219";"1060";"3"
"20170219";"240";"4"
"20170220";"260";"1"
"20170220";"154.54";"2"
"20170220";"940";"3"
"20170220";"70";"4"
"20170221";"380";"1"
"20170221";"230.53";"2"
"20170221";"811.67";"3"
"20170221";"220";"4"
"20170222";"170";"1"
"20170222";"81.32";"2"
"20170222";"290";"3"
"20170222";"0";"4"
"20170226";"260";"1"
"20170226";"238.68";"2"
"20170226";"170";"3"
"20170226";"120";"4"
"20170227";"140";"1"
"20170227";"286.02";"2"
"20170227";"370";"3"
"20170227";"50";"4"
"20170228";"200";"1"
"20170228";"236.56";"2"
"20170228";"540";"3"
"20170228";"300";"4"
"20170229";"700";"1"
"20170229";"455.54";"2"
"20170229";"720.66";"3"
"20170229";"50";"4"
"20170230";"70";"1"
"20170230";"494.78";"2"
"20170230";"570";"3"
"20170230";"0";"4"
"20170231";"350";"1"
"20170231";"230.94";"2"
"20170231";"790";"3"
"20170231";"480";"4"
"20170232";"140";"1"
"20170232";"79.56";"2"
"20170232";"510";"3"
"20170232";"250";"4"
"20170233";"200";"1"
"20170233";"244.5";"2"
"20170233";"1040";"3"
"20170233";"160";"4"
"20170234";"300";"1"
"20170234";"516.6";"2"
"20170234";"600";"3"
"20170234";"50";"4"
"20170235";"270";"1"
"20170235";"82.72";"2"
"20170235";"870";"3"
"20170235";"170";"4"
"20170236";"150";"1"
"20170236";"159.12";"2"
"20170236";"320";"3"
"20170236";"150";"4"
"20170237";"290";"1"
"20170237";"120.22";"2"
"20170237";"520";"3"
"20170237";"120";"4"
"20170238";"270";"1"
"20170238";"314.36";"2"
"20170238";"470";"3"
"20170238";"200";"4"
"20170239";"390";"1"
"20170239";"287.42";"2"
"20170239";"670";"3"
"20170239";"180";"4"
"20170240";"0";"1"
"20170240";"40.66";"2"
"20170240";"560";"3"
"20170240";"50";"4"
"20170241";"240";"1"
"20170241";"121.98";"2"
"20170241";"860";"3"
"20170241";"150";"4"
"20170242";"300";"1"
"20170242";"203.3";"2"
"20170242";"390";"3"
"20170242";"0";"4"
"20170243";"340";"1"
"20170243";"194.5";"2"
"20170243";"880";"3"
"20170243";"0";"4"
"20170244";"580";"1"
"20170244";"275.12";"2"
"20170244";"680";"3"
"20170244";"0";"4"
"20170245";"150";"1"
"20170245";"40.66";"2"
"20170245";"450";"3"
"20170245";"0";"4"
"20170246";"70";"1"
"20170246";"241.84";"2"
"20170246";"170";"3"
"20170246";"0";"4"
"20170247";"150";"1"
"20170247";"159.12";"2"
"20170247";"420";"3"
"20170247";"150";"4"
"20170248";"220";"1"
"20170248";"158.76";"2"
"20170248";"390";"3"
"20170248";"120";"4"
"20170249";"250";"1"
"20170249";"274.76";"2"
"20170249";"860";"3"
"20170249";"50";"4"
"20170250";"50";"1"
"20170250";"82.72";"2"
"20170250";"340";"3"
"20170250";"0";"4"
"20180005";"290";"1"
"20180005";"187.58";"2"
"20180005";"1070";"3"
"20180005";"70";"4"
"20180006";"470";"1"
"20180006";"234.46";"2"
"20180006";"1030";"3"
"20180006";"100";"4"
"20180007";"520";"1"
"20180007";"81.32";"2"
"20180007";"690";"3"
"20180007";"60";"4"
"20180008";"220";"1"
"20180008";"544.6";"2"
"20180008";"570";"3"
"20180008";"100";"4"
"20180009";"670";"1"
"20180009";"234.46";"2"
"20180009";"1190";"3"
"20180009";"0";"4"
"20180010";"630";"1"
"20180010";"185.7";"2"
"20180010";"640";"3"
"20180010";"190";"4"
"20180011";"220";"1"
"20180011";"195.2";"2"
"20180011";"450";"3"
"20180011";"0";"4"
"20180012";"320";"1"
"20180012";"40.66";"2"
"20180012";"640";"3"
"20180012";"50";"4"
"20180013";"220";"1"
"20180013";"236.56";"2"
"20180013";"690";"3"
"20180013";"70";"4"
"20180016";"90";"1"
"20180016";"273.36";"2"
"20180016";"1620";"3"
"20180016";"190";"4"
"20180017";"430";"1"
"20180017";"247.54";"2"
"20180017";"600";"3"
"20180017";"140";"4"
"20180018";"170";"1"
"20180018";"116.7";"2"
"20180018";"1050";"3"
"20180018";"50";"4"
"20180019";"140";"1"
"20180019";"356.44";"2"
"20180019";"1530";"3"
"20180019";"50";"4"
"20180020";"310";"1"
"20180020";"555.64";"2"
"20180020";"520";"3"
"20180020";"0";"4"
"20180021";"360";"1"
"20180021";"275.12";"2"
"20180021";"280";"3"
"20180021";"140";"4"
"20180022";"310";"1"
"20180022";"243.96";"2"
"20180022";"590";"3"
"20180022";"140";"4"
"20180023";"170";"1"
"20180023";"311.2";"2"
"20180023";"430";"3"
"20180023";"240";"4"
"20180024";"100";"1"
"20180024";"193.44";"2"
"20180024";"1560";"3"
"20180024";"50";"4"
"20180025";"420";"1"
"20180025";"84.12";"2"
"20180025";"850";"3"
"20180025";"170";"4"
"20180026";"230";"1"
"20180026";"234.1";"2"
"20180026";"1070";"3"
"20180026";"170";"4"
"20180027";"310";"1"
"20180027";"118.46";"2"
"20180027";"620";"3"
"20180027";"50";"4"
"20180028";"320";"1"
"20180028";"359.58";"2"
"20180028";"490";"3"
"20180028";"100";"4"
"20180029";"400";"1"
"20180029";"93.52";"2"
"20180029";"1130";"3"
"20180029";"290";"4"
"20180030";"190";"1"
"20180030";"399.49";"2"
"20180030";"587.49";"3"
"20180030";"100";"4"
"20180031";"200";"1"
"20180031";"201.54";"2"
"20180031";"450";"3"
"20180031";"0";"4"
"20180032";"820";"1"
"20180032";"81.32";"2"
"20180032";"680";"3"
"20180032";"150";"4"
"20180033";"420";"1"
"20180033";"318.3";"2"
"20180033";"480";"3"
"20180033";"100";"4"
"20180034";"680";"1"
"20180034";"84.9";"2"
"20180034";"850";"3"
"20180034";"140";"4"
"20180035";"260";"1"
"20180035";"79.56";"2"
"20180035";"1010";"3"
"20180035";"50";"4"
"20180036";"470";"1"
"20180036";"190.28";"2"
"20180036";"930";"3"
"20180036";"190";"4"
"20180037";"440";"1"
"20180037";"162.64";"2"
"20180037";"990";"3"
"20180037";"190";"4"
"20180038";"290";"1"
"20180038";"155.6";"2"
"20180038";"670";"3"
"20180038";"370";"4"
"20180039";"720";"1"
"20180039";"387.6";"2"
"20180039";"630";"3"
"20180039";"100";"4"
"20180040";"380";"1"
"20180040";"340";"2"
"20180040";"650";"3"
"20180040";"140";"4"
"20180041";"90";"1"
"20180041";"159.12";"2"
"20180041";"500";"3"
"20180041";"50";"4"
"20180042";"260";"1"
"20180042";"245.36";"2"
"20180042";"380";"3"
"20180042";"170";"4"
"20180043";"380";"1"
"20180043";"347.91";"2"
"20180043";"362.67";"3"
"20180043";"70";"4"
"20180044";"340";"1"
"20180044";"372.82";"2"
"20180044";"940";"3"
"20180044";"0";"4"
"20180045";"350";"1"
"20180045";"86.66";"2"
"20180045";"940";"3"
"20180045";"90";"4"
"20180046";"470";"1"
"20180046";"201.54";"2"
"20180046";"1300";"3"
"20180046";"200";"4"
"20180047";"360";"1"
"20180047";"153.14";"2"
"20180047";"800";"3"
"20180047";"50";"4"
"20180048";"380";"1"
"20180048";"380.49";"2"
"20180048";"510";"3"
"20180048";"50";"4"
"20180049";"340";"1"
"20180049";"275.12";"2"
"20180049";"1360";"3"
"20180049";"50";"4"
"20180050";"550";"1"
"20180050";"118.46";"2"
"20180050";"930";"3"
"20180050";"70";"4"
"20180051";"100";"1"
"20180051";"121.98";"2"
"20180051";"1000";"3"
"20180051";"0";"4"
"20180052";"140";"1"
"20180052";"160.88";"2"
"20180052";"580";"3"
"20180052";"50";"4"
"20180053";"50";"1"
"20180053";"409.58";"2"
"20180053";"290";"3"
"20180053";"240";"4"
"20180054";"340";"1"
"20180054";"235.86";"2"
"20180054";"1230";"3"
"20180054";"50";"4"
"20180055";"380";"1"
"20180055";"84.12";"2"
"20180055";"580";"3"
"20180055";"0";"4"
"20180056";"560";"1"
"20180056";"127.32";"2"
"20180056";"920";"3"
"20180056";"100";"4"
"20180057";"190";"1"
"20180057";"112.48";"2"
"20180057";"670";"3"
"20180057";"100";"4"
"20180058";"310";"1"
"20180058";"317.52";"2"
"20180058";"890";"3"
"20180058";"100";"4"
"20180059";"350";"1"
"20180059";"281.1";"2"
"20180059";"1150";"3"
"20180059";"100";"4"
"20180060";"250";"1"
"20180060";"291.62";"2"
"20180060";"730";"3"
"20180060";"150";"4"
"20180061";"90";"1"
"20180061";"271.54";"2"
